0,disease_name,Doctor,exercise,diet,medicine
1,Fungal infection,Dr Sagar Nyati's Skin Care Clinic Ring Rd Datta Colony Jalgaon,Yoga,"High Protein, low carbohydrates",Take opinion from doctor
2,Allergy,Dr. Mahajab Anubhuti Hospital near Jalgaon co- opprative bank,Suryanamaskar,Leafy vegitables,Take opinion from doctor
3,GERD,Dr. Gajanan Patil Kewal Hospital near Krushi Colony ,Cardio excersize,fruits,Take opinion from doctor
4,Chronic cholestasis,Dr. satav Clinic near vijay Colony Jalgaon,Cardio excersize,High carbohydrates,Crocine
5,Drug Reac11tion,Dr Paresh Orchid Hospital old B J market Jalgaon,Meditation,Low fat,Disprine
6,Peptic ulcer diseae,Dr.Rohan Patil Ring rd tagore nagar Jalgaon,Zumba dance,fruits,vitamin C
7,AIDS,Dr. Nitin Jyoti Cancer Hospitaljilha path Jalgaon,Meditation,Leafy vegitables,Take opinion from doctor
8,Diabetes ,Dr Abhay khode Chellaram Hospital Jalgaon,Cardio excersize,Fruits Juice,Take opinion from doctor
9,Gastroenteritis,Dr. Chopade Chintamani Hospital Jalgaon,Walking,"High Protein, low carbohydrates",Take opinion from doctor
10,Bronchial Asthma,Dr. Date Vijay Clinic near Bhaskar market Jalgaon,Yoga,Leafy vegitables,Crocine
11,Hypertension ,Dr. Inamdar Madhuri Clinic near railway Station road Jalgaon,Suryanamaskar,fruits,Disprine
12,Migraine,Dr. Satish Patil  Shree Samarth Hospital Ring Rd Yasvant Colony Jalgaon,Morning Walk,High carbohydrates,vitamin C
13,Cervical spondylosis,Dr. Garde and Clinic Wagh nagar Jalgaon,Yoga,Low fat,Disprine
14,Paralysis (brain hemorrhage),Dr. Satish Patil  Shree Samarth Hospital Ring Rd Yasvant Colony Jalgaon,Meditation,"High Protein, low carbohydrates",vitamin C
15,Jaundice,Dr. Kadam Shraddha Clinic Ajintha Chopoli Jalgaon,Walking,Leafy vegitables,Take opinion from doctor
16,Malaria,Dr. Agarkar Tarra Hospital Nandanvan colony Jalgaon,Meditation,fruits,Take opinion from doctor
17,Chicken pox,Dr. Agarkar Tarra Hospital Nandanvan colony Jalgaon,Zumba dance,High carbohydrates,Crocine
18,Dengue,Dr.Khan Jalgaon City Hospital near New Bus Stand Jalgaon,Meditation,Low fat,Disprine
19,Typhoid,Dr. Thakkar Dr.Khan Jalgaon City Hospital near New Bus Stand Jalgaon,Cardio excersize,fruits,vitamin C
20,hepatitis A,Dr. Gandhi Ganpati Hospital Near Aakash wani Jalgaon,Walking,Leafy vegitables,Take opinion from doctor
21,Hepatitis B,Dr. Gandhi Ganpati Hospital Near Aakash wani Jalgaon,Walking,Fruits Juice,Take opinion from doctor
22,Hepatitis C,Dr. Gandhi Ganpati Hospital Near Aakash wani Jalgaon,Walking,High carbohydrates,Take opinion from doctor
23,Hepatitis D,Dr. Gandhi Ganpati Hospital Near Aakash wani Jalgaon,Walking,Low fat,Take opinion from doctor
24,Hepatitis E,Dr. Gandhi Ganpati Hospital Near Aakash wani Jalgaon,Walking,fruits,Take opinion from doctor
25,Alcoholic hepatitis,Dr. dhawal Nirali Clinic near mehrun Jalgaon,Yoga,"High Protein, low carbohydrates",Take opinion from doctor
26,Tuberculosis,Dr. Buttler Ganpati Hospital Near Aakash wani Jalgaon ,Walking,Leafy vegitables,Take opinion from doctor
27,Common Cold,Dr. Jaiswal & Clinic near meharun Jalgaon,Running,fruits,Crocine
28,Pneumonia,Dr. Kalpesh Gandhi Pande Dairy chowk Jalgaon,Meditation,High carbohydrates,Disprine
29,Dimorphic hemmorhoids(piles),Dr. Dube anas Hospital New Samarth Colony Jalgaon,Suryanamaskar,Low fat,vitamin C
30,Heart attack,Dr. Harshal Patil Spandan Heart Center Infront of union bank near sayli hotel Jalgaon,Cardio excersize,fruits,Take opinion from doctor
31,Varicose veins,Dr. Anupam's Atharv speciality Jalgaon,Cardio excersize,Leafy vegitables,"Vitamin D,E"
32,Hypothyroidism,Dr. Niraj Nityaseva Hospital Pratap Nagar Jalgaon,Meditation,Fruits Juice,Take opinion from doctor
33,Hyperthyroidism,Dr. Niraj Nityaseva Hospital Pratap Nagar Jalgaon,Zumba dance,fruits,Take opinion from doctor
34,Hypoglycemia,Dr. Niraj Nityaseva Hospital Pratap Nagar Jalgaon,Suryanamaskar,"High Protein, low carbohydrates",Take opinion from doctor
35,Osteoarthristis,Dr. Tejas Patil Orthocare & accident Harshal Hareshwar Nagar Colony Jalgaon,Cardio excersize,Leafy vegitables,Vitamin C
36,Arthritis,Dr.Ajay Kothari Spine Surgeon near new bus stand Jalgaon Mustafizur,Cardio excersize,fruits,Vitamin B
37,(vertigo) Paroymsal  Positional Vertigo,Dr.Nitin Dhande Bhangale Hospital Onkar Nagar Jalgaon,Meditation,High carbohydrates,Take opinion from doctor
38,Acne,Dr. Bumrah Bhangale Hospital Onkar Nagar Jalgaon,Zumba dance,Low fat,Take opinion from doctor
39,Urinary tract infection,Dr. Pandya Lotus Hospital Devidas Colony Jalgaon,Meditation,fruits,Vitamin C
40,Psoriasis,Dr. Chirag Amtutdhara Hospital Near Girana water tank Jalgaon,Yoga,Leafy vegitables,Take opinion from doctor
41,Impetigo,Dr.Prakash Chitte Shri Santulan Hospital New Joshi Colony Jalgaon,Meditation,Fruits Juice,Take opinion from doctor
